Nazwa_waluty,Kurs_20181217,Kurs_20181224,Kurs_20181231
bat,0.1155,0.1154,0.1161
dolar_amerykanski,3.7871,3.7588,3.7597
dolar_australijski,2.7194,2.6535,2.6549
dolar_Hongkongu,0.4847,0.4800,0.4801
dolar_kanadyjski,2.8309,2.7684,2.7620
dolar_nowozelandzki,2.5804,2.5319,2.5230
dolar_singapurski,2.7549,2.7367,2.7599
euro,4.2906,4.2832,4.3000
forint,1.3265,1.3315,1.3394
frank_szwajcarski,3.8025,3.7777,3.8166
funt_szterling,4.7718,4.7544,4.7895
hrywna,0.1358,0.1373,0.1357
jen,3.3413,3.3839,3.4124
korona_czeska,0.1663,0.1655,0.1673
korona_dunska,0.5747,0.5736,0.5759
korona_islandzka,3.0779,3.2156,3.2282
korona_norweska,0.4393,0.4290,0.4325
korona_szwedzka,0.4172,0.4143,0.4201
kuna,0.5802,0.5770,0.5799
lej_rumunski,0.9217,0.9230,0.9229
lew,2.1938,2.1900,2.1985
lira_turecka,0.7042,0.7081,0.7108
nowy_izraelski_szekel,1.0030,0.9949,1.0008
peso_chilijskie,0.5539,0.5420,0.5417
peso_filipinskie,0.0715,0.0709,0.0716
peso_meksykanskie,0.1881,0.1890,0.1915
rand,0.2646,0.2581,0.2614
real,0.9668,0.9628,0.9687
ringgit,0.9058,0.8983,0.9098
rubel_rosyjski,0.0570,0.0549,0.0541
rupia_indonezyjska,2.5984,2.5825,2.6146
rupia_indyjska,5.2872,5.3715,5.3875
won_poludniowokoreanski,0.3348,0.3342,0.3373
yuan_renminbi,0.5490,0.5448,0.5481